ensembl_gene_id,gene_name
ENSG00000241769,LINC00893
ENSG00000205755,CRLF2
ENSG00000215089,KRT18P11
ENSG00000211526,AL121869.1
ENSG00000230543,SNX3P1X
ENSG00000225912,RP13-258O15.1
ENSG00000237873,RP11-156J23.1
ENSG00000234130,RP13-88F20.1
ENSG00000231568,RP11-552E4.4
ENSG00000234322,ST13P18
ENSG00000229662,RP11-552E4.5
ENSG00000232042,RP11-45J1.1
ENSG00000237381,RP3-455H14.1
ENSG00000272179,snoU13
ENSG00000181511,RP4-655L22.4
ENSG00000237828,PA2G4P1
ENSG00000228301,RPL7P55
ENSG00000271346,RP1-321E8.4
ENSG00000147099,HDAC8
ENSG00000270826,RP1-60G11.1
ENSG00000212495,RNU6-332P
ENSG00000202410,Y_RNA
ENSG00000270678,RP6-166C19.21
ENSG00000227521,RP13-213K19.1
ENSG00000270493,RP6-166C19.22
ENSG00000271154,RP6-166C19.23
ENSG00000232293,PAICSP7
ENSG00000271041,RP6-166C19.18
ENSG00000232813,RP11-344N17.2
ENSG00000231001,CCNB1IP1P3
ENSG00000270397,RP6-166C19.16
ENSG00000241207,RP11-344N17.3
ENSG00000271502,RP6-166C19.17
ENSG00000221665,AL591708.1
ENSG00000237345,RP11-344N17.11
ENSG00000271211,RP6-166C19.20
ENSG00000221187,MIR548M
ENSG00000270736,RP6-166C19.19
ENSG00000212098,AL390966.1
ENSG00000271094,RP3-380C13.2
ENSG00000204648,SSX9
ENSG00000270771,RP6-166C19.12
ENSG00000223467,CALM1P1
ENSG00000270646,RP6-166C19.15
ENSG00000234391,RP11-344N17.6
ENSG00000270456,RP6-166C19.14
ENSG00000270251,RP6-166C19.13
ENSG00000201567,RNA5SP510
ENSG00000233433,RP1-296G17.3
ENSG00000215085,RP11-471G13.2
ENSG00000234176,HSPA8P1
ENSG00000212032,AC007486.1
ENSG00000265456,MIR3672
ENSG00000213498,TPT1P13
ENSG00000221217,AL359851.1
ENSG00000260585,RP13-192B19.2
ENSG00000227302,SSXP9
ENSG00000237891,RP11-417D4.1
ENSG00000221317,AL513487.1
ENSG00000225261,RP5-937E21.8
ENSG00000230100,RP11-344N17.8
ENSG00000232496,RPL3P12
ENSG00000229322,RP5-937E21.1
ENSG00000270747,RP11-344N17.15
ENSG00000228833,RP5-1014O16.9
ENSG00000223377,RP5-1014O16.1
ENSG00000231694,RP5-1014O16.10
ENSG00000235254,TMEM185AP1
ENSG00000198223,CSF2RA
ENSG00000224732,MAGEA7P
ENSG00000225055,RP11-344N17.9
ENSG00000236185,HNRNPDLP3
ENSG00000226307,HNRNPDLP1
ENSG00000234448,RP11-344N17.13
ENSG00000229829,DUTP4
ENSG00000235425,RPS7P13
ENSG00000231603,RP11-344N17.12
ENSG00000270583,RP11-471G13.5
ENSG00000230899,MAGEA8-AS1
ENSG00000232842,RP5-961K14.1
ENSG00000224871,XX-FW81066F1.2
ENSG00000242998,RN7SL379P
ENSG00000203262,RP5-961K14.2
ENSG00000235703,LINC00894
ENSG00000229620,AF196972.2
ENSG00000232069,RPS29P28
ENSG00000231489,AF196972.10
ENSG00000271209,RP13-40J16.1
ENSG00000235350,AF196972.3
ENSG00000223260,RN7SKP194
ENSG00000229693,RP11-25C15.1
ENSG00000207426,Y_RNA
ENSG00000214628,RP11-392M9.2
ENSG00000265260,RN7SL74P
ENSG00000236256,DIAPH2-AS1
ENSG00000212321,U3
ENSG00000224236,MRRFP1
ENSG00000265082,AL356213.1
ENSG00000179101,RP11-349N19.2
ENSG00000229733,RP5-1189B24.1
ENSG00000226971,AF196972.4
ENSG00000233887,ERVWE2
ENSG00000183171,RP11-49C9.2
ENSG00000237752,RP13-75G22.1
ENSG00000252454,MIR2114
ENSG00000234889,RP13-130D24.1
ENSG00000234825,XRCC6P2
ENSG00000236243,RPL6P29
ENSG00000263713,AC109994.1
ENSG00000228728,RP11-316K19.3
ENSG00000271322,RP11-390F10.3
ENSG00000185291,IL3RA
ENSG00000253009,U3
ENSG00000213704,EEF1A1P15
ENSG00000230153,AF003626.1
ENSG00000224292,AF196972.9
ENSG00000222796,RNU6-383P
ENSG00000230508,RPL19P21
ENSG00000239017,snoU13
ENSG00000228343,RP11-1148L6.5
ENSG00000270916,RP4-741O10.1
ENSG00000220125,MRPL32P1
ENSG00000231725,VN1R110P
ENSG00000212595,5S_rRNA
ENSG00000265789,MIR4330
ENSG00000232828,AF196970.3
ENSG00000234696,GPR50-AS1
ENSG00000206723,RNU6-1056P
ENSG00000233585,AC115617.2
ENSG00000207367,RNU6-29P
ENSG00000184596,AF207550.1
ENSG00000223309,RNU6-722P
ENSG00000264065,RN7SL139P
ENSG00000206936,RNU4-52P
ENSG00000265033,RN7SL262P
ENSG00000237341,SYP-AS1
ENSG00000266813,AF196779.1
ENSG00000230216,HSPB1P2
ENSG00000169100,SLC25A6
ENSG00000068323,TFE3
ENSG00000226837,HMGB1P32
ENSG00000252430,AL109750.1
ENSG00000270308,RP3-377O6.2
ENSG00000215070,XRCC6P5
ENSG00000269993,AF003625.3
ENSG00000228717,AF013593.1
ENSG00000229946,RP11-368G3.1
ENSG00000252296,SNORA25
ENSG00000236988,RP11-402K9.1
ENSG00000270052,WI2-80269A6.1
ENSG00000214915,XX-FW80269A6.1
ENSG00000230592,RPSAP8
ENSG00000239429,RP11-45D17.1
ENSG00000169093,ASMTL
ENSG00000261295,RP11-524D16__A.3
ENSG00000223819,RP3-347M6.1
ENSG00000238116,RP3-347M6.2
ENSG00000229967,RP11-366F6.2
ENSG00000202231,SNORA9
ENSG00000239345,HNRNPA1P26
ENSG00000270012,LL0XNC01-7P3.1
ENSG00000213856,VDAC1P2
ENSG00000227391,SALL1P1
ENSG00000234390,USP27X-AS1
ENSG00000220132,AF238380.8
ENSG00000264120,AF274855.1
ENSG00000207621,MIR224
ENSG00000201341,RNU6-421P
ENSG00000228466,TUBB4AP1
ENSG00000232149,FERP1
ENSG00000264467,RN7SL29P
ENSG00000233680,HNRNPA1P27
ENSG00000230376,MEMO1P4
ENSG00000207753,MIR452
ENSG00000228965,RP11-1007I13.2
ENSG00000252178,RNU7-69P
ENSG00000242520,MAGEA5
ENSG00000226902,CHCHD2P1
ENSG00000179031,LL0XNC01-131B10.2
ENSG00000199705,Y_RNA
ENSG00000237331,XIAP-AS1
ENSG00000252627,RNU6-122P
ENSG00000182574,RP3-341D10.1
ENSG00000237025,RP1-315G1.1
ENSG00000232412,RP1-315G1.3
ENSG00000239058,snoU13
ENSG00000237426,ZIK1P1
ENSG00000207758,MIR532
ENSG00000207768,MIR188
ENSG00000265152,AF222686.1
ENSG00000207785,MIR500A
ENSG00000208015,MIR362
ENSG00000211538,MIR501
ENSG00000239057,MIR500B
ENSG00000207970,MIR660
ENSG00000272080,MIR502
ENSG00000181977,PYY3
ENSG00000202495,Y_RNA
ENSG00000252693,SNORA40
ENSG00000182162,P2RY8
ENSG00000234564,HSPA8P20
ENSG00000204466,DGKK
ENSG00000225839,TRMT2B-AS1
ENSG00000231643,GHc-210E9.2
ENSG00000197976,AKAP17A
ENSG00000232054,NPM1P34
ENSG00000226532,RP5-1052M9.1
ENSG00000229825,RP5-1052M9.4
ENSG00000236880,RP3-384D21.2
ENSG00000238626,snoU13
ENSG00000232599,RP1-161N10.1
ENSG00000263886,AL953885.1
ENSG00000213489,RP13-147D17.1
ENSG00000222518,AL645819.1
ENSG00000237208,RP11-13E5.2
ENSG00000230916,RP11-10B2.1
ENSG00000231501,MTND4LP1
ENSG00000196433,ASMT
ENSG00000264338,AL359973.1
ENSG00000232177,MTND4P24
ENSG00000226414,RP11-375A20.1
ENSG00000222203,Y_RNA
ENSG00000202024,RNU6-934P
ENSG00000270813,NANOGNBP3
ENSG00000183911,RPL21P132
ENSG00000187808,SOWAHD
ENSG00000198918,RPL39
ENSG00000221132,AL035422.1
ENSG00000234557,RP1-164F3.8
ENSG00000237682,RP3-514P16.1
ENSG00000204072,RP4-545K15.3
ENSG00000228275,ARMCX3-AS1
ENSG00000261101,RP4-545K15.5
ENSG00000207291,RNU6-30P
ENSG00000223753,GHc-602D8.2
ENSG00000266560,RP11-1007I13.4
ENSG00000212584,RNU6-587P
ENSG00000229090,RP1-232L22__A.1
ENSG00000147144,CCDC120
ENSG00000178146,RP1-232L22__B.1
ENSG00000169084,DHRSX
ENSG00000231937,RP11-329E24.6
ENSG00000235196,RP1-3E10.2
ENSG00000252810,RNU6-345P
ENSG00000252205,RNU6-764P
ENSG00000207957,MIR105-1
ENSG00000235976,RP1-197J16.1
ENSG00000211583,MIR767
ENSG00000207818,MIR105-2
ENSG00000223940,KRT8P8
ENSG00000226119,RP1-197J16.2
ENSG00000234454,RP1-14D6.2
ENSG00000214717,ZBED1
ENSG00000197463,CSAG3
ENSG00000263686,AL391375.1
ENSG00000230538,RP3-428A13.1
ENSG00000260683,CTD-2076M15.1
ENSG00000235274,RP1-107N3.1
ENSG00000002586,CD99
ENSG00000224548,RP1-107N3.2
ENSG00000231447,RP1-14D6.7
ENSG00000243279,PRAF2
ENSG00000236042,RP1-203C2.2
ENSG00000242599,CSAG4
ENSG00000235334,RP1-203C2.3
ENSG00000235239,RP1-203C2.4
ENSG00000184324,CSAG2
ENSG00000235735,RPL7AP72
ENSG00000234901,MTND6P13
ENSG00000251525,TCP11X3P
ENSG00000225689,RP1-30E17.2
ENSG00000226802,RP11-72I18.1
ENSG00000226170,U82671.12
ENSG00000264933,RN7SL190P
ENSG00000234200,U82671.8
ENSG00000218728,KRT18P44
ENSG00000229979,U82670.9
ENSG00000223995,RPL32P35
ENSG00000235675,AC151961.1
ENSG00000231600,AC151960.1
ENSG00000226613,GHc-1077H7.2
ENSG00000234592,RP11-41L14.1
ENSG00000237736,U82670.4
ENSG00000226339,RPS26P56
ENSG00000235219,CTC-233O10.1
ENSG00000231590,RP11-353J17.3
ENSG00000201518,RNA5SP513
ENSG00000240143,RP4-753P9.3
ENSG00000125351,UPF3B
ENSG00000266440,AL359542.1
ENSG00000235189,RP4-537K23.4
ENSG00000266108,AC152005.1
ENSG00000176318,FOXN3P1
ENSG00000224931,AC152010.1
ENSG00000225110,LL0XNC01-16G2.1
ENSG00000238040,SALL4P2
ENSG00000239037,snoU13
ENSG00000232249,LL0XNC01-37G1.2
ENSG00000214897,U82695.5
ENSG00000265170,RN7SL667P
ENSG00000196970,NXF4
ENSG00000259886,U82695.10
ENSG00000260081,RP11-66N11.8
ENSG00000217889,KRT18P48
ENSG00000196998,WDR45
ENSG00000213391,RP11-66N11.6
ENSG00000228616,RP11-66N11.7
ENSG00000124343,XG
ENSG00000102030,NAA10
ENSG00000202304,RNU6-1130P
ENSG00000225046,RP1-20I3.3
ENSG00000229702,RP1-274L7.1
ENSG00000221930,FAM45B
ENSG00000271677,RP1-274L7.3
ENSG00000265211,AL121865.1
ENSG00000238188,RP5-875H3.2
ENSG00000222303,RNU6-935P
ENSG00000226881,H3F3AP5
ENSG00000238190,HMGB1P15
ENSG00000228659,RP1-23K20.2
ENSG00000227493,RP11-104D21.1
ENSG00000241198,RN7SL191P
ENSG00000237793,RPL18AP16
ENSG00000230926,RP11-104D21.2
ENSG00000230317,RP11-104D21.3
ENSG00000056998,GYG2
ENSG00000237650,OR11Q1P
ENSG00000237926,RP13-346H10.2
ENSG00000271147,RP4-769N13.6
ENSG00000229151,RP11-348F1.3
ENSG00000185903,OR11N1P
ENSG00000226530,RP11-348F1.2
ENSG00000229082,OR5AW1P
ENSG00000234766,RP11-56H2.2
ENSG00000242610,OR5BH1P
ENSG00000244335,RN7SL687P
ENSG00000232725,U52111.14
ENSG00000216047,AL135784.1
ENSG00000234288,OR1AA1P
ENSG00000184844,CYCSP45
ENSG00000230973,RP1-154J13.2
ENSG00000251846,SNORD36
ENSG00000235802,HCFC1-AS1
ENSG00000265176,MIR3202-1
ENSG00000211524,MIR718
ENSG00000231830,XX-FW83128A1.2
ENSG00000270050,RP4-769N13.7
ENSG00000227211,RP5-1100E15.4
ENSG00000252294,RNU6-589P
ENSG00000230320,RP4-769N13.2
ENSG00000207165,SNORA70
ENSG00000224109,CENPVP3
ENSG00000197180,BX936347.1
ENSG00000264783,BX664739.1
ENSG00000227997,CENPVP2
ENSG00000223546,LINC00630
ENSG00000264484,RN7SL697P
ENSG00000223591,CENPVP1
ENSG00000264631,RN7SL742P
ENSG00000261773,WI2-89031B12.1
ENSG00000231342,ATF4P2
ENSG00000236576,RP11-22B10.3
ENSG00000232155,AF277315.19
ENSG00000213338,ATF4P1
ENSG00000252377,RNU6-504P
ENSG00000228827,RP11-234P3.2
ENSG00000224882,IKBKGP1
ENSG00000226141,AF277315.13
ENSG00000237619,OR3B1P
ENSG00000206948,SNORA36A
ENSG00000206693,SNORA56
ENSG00000229237,HMGN1P37
ENSG00000221533,MIR1184-1
ENSG00000224069,CTD-2183H9.7
ENSG00000237859,EEF1A1P31
ENSG00000102032,RENBP
ENSG00000006756,ARSD
ENSG00000232282,MTND1P32
ENSG00000232951,IPO7P1
ENSG00000237528,RP11-234P3.4
ENSG00000228450,RP1-154J13.3
ENSG00000232562,TPMTP3
ENSG00000229954,MTND2P2
ENSG00000237225,OR13K1P
ENSG00000221705,SNORA11E
ENSG00000221475,SNORA11D
ENSG00000225957,CTD-2267G17.2
ENSG00000237300,RP11-522L3.3
ENSG00000224556,RP11-485B17.3
ENSG00000250084,RP11-485B17.5
ENSG00000227319,RBM22P6
ENSG00000237628,RP11-522L3.4
ENSG00000232787,OR7L1P
ENSG00000235730,OR2AF1P
ENSG00000228316,RP11-522L3.5
ENSG00000224471,RP11-522L3.6
ENSG00000227183,HDGFP1
ENSG00000223395,RBM22P7
ENSG00000213468,RP11-453F18__B.1
ENSG00000226056,MTND4P32
ENSG00000235073,RBM22P10
ENSG00000225322,RP11-472D17.1
ENSG00000233742,RP11-472D17.2
ENSG00000157399,ARSE
ENSG00000241418,RP11-512H23.2
ENSG00000234886,MTND5P26
ENSG00000228089,RP1-197O17.2
ENSG00000235190,RP1-197O17.3
ENSG00000200587,RNA5SP514
ENSG00000233688,CTD-2183H9.3
ENSG00000265686,AL109749.1
ENSG00000228819,RP1-305B16.3
ENSG00000227649,RP11-522L3.9
ENSG00000235991,RP11-143H17.1
ENSG00000232160,RAP2C-AS1
ENSG00000229794,RP11-522L3.11
ENSG00000224978,RP13-228J13.9
ENSG00000227628,RP11-472D17.3
ENSG00000225008,RP13-228J13.6
ENSG00000231283,RP11-472D17.6
ENSG00000239407,LL0XNC01-237H1.2
ENSG00000231775,RP11-472D17.4
ENSG00000228986,RP13-228J13.8
ENSG00000206900,RNU6-98P
ENSG00000230491,RP13-228J13.10
ENSG00000232384,RP11-204I15.1
ENSG00000235849,HS6ST2-AS1
ENSG00000227064,RP3-363L9.1
ENSG00000227469,RBM22P8
ENSG00000205667,ARSH
ENSG00000229936,RBM22P9
ENSG00000234050,LL0XNC01-237H1.3
ENSG00000225949,RP3-358H7.1
ENSG00000231457,RBM22P11
ENSG00000227058,RP13-34L8.7
ENSG00000207100,SNORA8
ENSG00000224632,LL0XNC01-73E8.1
ENSG00000231593,RP13-34L8.8
ENSG00000221010,AL008708.1
ENSG00000202199,RNU1-115P
ENSG00000224216,RP13-228J13.1
ENSG00000265471,AL034400.1
ENSG00000230578,RP13-228J13.5
ENSG00000226241,LL0XNC01-221F2.2
ENSG00000206765,RNU6-203P
ENSG00000227008,RP3-417G15.1
ENSG00000221190,MIR1184-3
ENSG00000221603,MIR1184-2
ENSG00000211495,AL009174.1
ENSG00000062096,ARSF
ENSG00000224533,TMLHE-AS1
ENSG00000225393,RP11-218L14.4
ENSG00000237801,AMDP1
ENSG00000228459,CXorf28
ENSG00000237040,DPH3P2
ENSG00000228410,TCEB1P24
ENSG00000223484,TRPC6P
ENSG00000270726,AJ271736.10
ENSG00000101825,MXRA5
ENSG00000183943,PRKX
ENSG00000233260,RPSAP63
ENSG00000232068,AF003529.2
ENSG00000200572,Y_RNA
ENSG00000224908,TIMM8BP2
ENSG00000228771,RP11-552J9.1
ENSG00000207572,MIR363
ENSG00000208034,MIR92A2
ENSG00000185319,SSXP4
ENSG00000207812,MIR19B2
ENSG00000207710,MIR20B
ENSG00000239594,MIR18B
ENSG00000207602,MIR106A
ENSG00000232664,LARP1BP3
ENSG00000272244,Metazoa_SRP
ENSG00000214961,RP11-355K23B.1
ENSG00000251962,AL591668.1
ENSG00000226107,AC004383.3
ENSG00000205664,RP11-706O15.1
ENSG00000172534,HCFC1
ENSG00000197185,SSXP1
ENSG00000185203,WASIR1
ENSG00000146938,NLGN4X
ENSG00000067177,PHKA1
ENSG00000169059,VCX3A
ENSG00000130021,HDHD1
ENSG00000234792,RP11-552J9.6
ENSG00000157965,SSX8
ENSG00000101846,STS
ENSG00000228354,RP11-552J9.9
ENSG00000222608,RNA5SP504
ENSG00000225508,SSXP5
ENSG00000182583,VCX
ENSG00000237275,RP11-552J9.11
ENSG00000223958,RP11-552J9.12
ENSG00000006757,PNPLA4
ENSG00000216001,MIR450B
ENSG00000177504,VCX2
ENSG00000199132,MIR450A1
ENSG00000207755,MIR450A2
ENSG00000200662,Y_RNA
ENSG00000207784,MIR542
ENSG00000233071,RP4-635G19.1
ENSG00000223749,MIR503HG
ENSG00000224692,LL0XNC01-177E8.2
ENSG00000205642,VCX3B
ENSG00000225397,RP11-552J9.13
ENSG00000229826,RP11-552J9.14
ENSG00000238127,RP11-552J9.15
ENSG00000238049,LL0XNC01-105G4.3
ENSG00000236518,RP13-77O11.7
ENSG00000226867,RP13-77O11.8
ENSG00000234405,LL0XNC01-250H12.3
ENSG00000266568,AL049610.1
ENSG00000224031,TCEAL3-AS1
ENSG00000229885,RP13-77O11.12
ENSG00000180284,RP5-1055C14.6
ENSG00000231154,MORF4L2-AS1
ENSG00000250232,AF196779.12
ENSG00000011201,KAL1
ENSG00000221392,Z73964.1
ENSG00000222419,RNA5SP511
ENSG00000231787,RP11-370B6.1
ENSG00000234345,LL0XNC01-116E7.1
ENSG00000068394,GPKOW
ENSG00000231728,LL0XNC01-116E7.2
ENSG00000230312,LL0XNC01-116E7.4
ENSG00000260831,GHc-362H12.3
ENSG00000227067,DPPA3P1
ENSG00000233320,H2BFXP
ENSG00000235946,LL0XNC01-240C2.1
ENSG00000232665,PHBP10
ENSG00000223733,RPL18AP14
ENSG00000181819,KCTD9P2
ENSG00000183304,FAM9A
ENSG00000017621,MAGIX
ENSG00000206864,RNU6-207P
ENSG00000222161,Z97356.1
ENSG00000230788,RP11-560L11.1
ENSG00000208005,MIR503
ENSG00000227060,LINC00629
ENSG00000256709,AL139812.1
ENSG00000202407,Y_RNA
ENSG00000235813,RP11-308B5.2
ENSG00000224816,NAP1L4P2
ENSG00000236509,RPL21P133
ENSG00000177138,FAM9B
ENSG00000125352,RNF113A
ENSG00000237432,RPS7P12
ENSG00000199920,RNU4-44P
ENSG00000221299,Z83826.1
ENSG00000207081,RNU6-616P
ENSG00000236091,RP3-473B4.3
ENSG00000125356,NDUFA1
ENSG00000227657,RP13-483F6.1
ENSG00000231929,HMGB3P31
ENSG00000228372,RP11-85L21.4
ENSG00000263515,MIR548AN
ENSG00000231144,EEF1A1P40
ENSG00000234228,NCLP2
ENSG00000196972,LINC00087
ENSG00000213569,RP13-383K5.4
ENSG00000199832,Y_RNA
ENSG00000224107,LINC00633
ENSG00000204053,MYCLP1
ENSG00000256815,AL590325.2
ENSG00000186471,AKAP14
ENSG00000223809,RP11-85L21.6
ENSG00000215007,DNAJA1P3
ENSG00000256182,AL590325.1
ENSG00000214720,KRT18P49
ENSG00000184911,DMRTC1B
ENSG00000232582,RP11-85L21.5
ENSG00000207846,AL035088.1
ENSG00000227610,FRMPD3-AS1
ENSG00000101849,TBL1X
ENSG00000236064,RP6-191P20.4
ENSG00000207363,Y_RNA
ENSG00000236491,RP13-565O16.2
ENSG00000225728,RP6-191P20.3
ENSG00000196395,RP13-77O11.11
ENSG00000189372,RP6-149D17.1
ENSG00000228922,RP13-210D15.1
ENSG00000264894,AL590282.1
ENSG00000224781,EIF4A2P4
ENSG00000227792,RP13-210D15.6
ENSG00000207146,Y_RNA
ENSG00000261409,RP6-24A23.7
ENSG00000159123,DMRTC1
ENSG00000237863,RP6-24A23.3
ENSG00000238210,RP13-210D15.4
ENSG00000201443,RNU6-309P
ENSG00000177854,TMEM187
ENSG00000226958,CTD-2328D6.1
ENSG00000215000,RP1-31B8.1
ENSG00000229015,RP11-265D19.6
ENSG00000182484,WASH6P
ENSG00000178947,LINC00086
ENSG00000233874,RP1-136J15.5
ENSG00000201440,RNA5SP515
ENSG00000237319,RP1-136J15.1
ENSG00000252069,Y_RNA
ENSG00000225769,CROCCP1
ENSG00000225381,RPS5P7
ENSG00000271158,RP11-265D19.7
ENSG00000225235,DDX26B-AS1
ENSG00000208013,MIR652
ENSG00000265584,MIR3978
ENSG00000264284,AL391380.1
ENSG00000237833,RP11-432N13.2
ENSG00000208883,SNORD96B
ENSG00000224142,AMMECR1-IT1
ENSG00000225366,TDGF1P3
ENSG00000224539,RP11-432N13.3
ENSG00000228042,RP11-441A11.1
ENSG00000226112,FCF1P4
ENSG00000198022,RP11-432N13.4
ENSG00000234349,GLUD1P9
ENSG00000251954,RNU6-496P
ENSG00000223904,HMGB1P12
ENSG00000260802,LINC00890
ENSG00000184216,IRAK1
ENSG00000101850,GPR143
ENSG00000184388,PABPC1L2B
ENSG00000266829,RN7SL661P
